iso3c,Country,Year,Sex,Age_Int,Age_Lower,Deaths,Population,mr,mra,source,Age_Int_cut,Sex_name,asmr
PER,Peru,2021,b,All ages,NA,115401.16666666672,32971846,349.99910731921625,349.99910731921625,Excess deaths,NA,Both sexes,595.5093265637139
PER,Peru,2021,f,All ages,NA,45287.16666666668,16593240,272.9254001428695,272.9254001428695,Excess deaths,NA,Females,494.9902488385853
PER,Peru,2021,m,All ages,NA,70114.00000000003,16378606,428.0828295155279,428.0828295155279,Excess deaths,NA,Males,688.3516866976707
PHL,Philippines,2020,b,All ages,NA,-11136.79999999993,109581085,-10.163067832372649,-10.163067832372649,Excess deaths,NA,Both sexes,-27.039858364742898
PHL,Philippines,2020,f,All ages,NA,-5693.499999999942,54552260,-10.4367811709358,-10.4367811709358,Excess deaths,NA,Females,-37.225711220676395
PHL,Philippines,2020,m,All ages,NA,-5443.299999999988,55028825,-9.891724927799181,-9.891724927799181,Excess deaths,NA,Males,-14.60426424602773
POL,Poland,2020,b,All ages,NA,72778.30000000005,37846605,192.29809384487737,192.29809384487737,Excess deaths,NA,Both sexes,174.6677052951964
POL,Poland,2020,f,All ages,NA,30769.00000000003,19508722,157.71919862305705,157.71919862305705,Excess deaths,NA,Females,130.93403239742173
POL,Poland,2020,m,All ages,NA,42009.30000000002,18337883,229.0847858501443,229.0847858501443,Excess deaths,NA,Males,237.02959284069632
POL,Poland,2021,b,All ages,NA,102115.00000000006,37846605,269.81284054408593,269.81284054408593,Excess deaths,NA,Both sexes,247.1855352336229
POL,Poland,2021,f,All ages,NA,47985.80000000002,19508722,245.97100722435852,245.97100722435852,Excess deaths,NA,Females,208.216643065186
POL,Poland,2021,m,All ages,NA,54129.20000000001,18337883,295.1769296379523,295.1769296379523,Excess deaths,NA,Males,300.8039449739854
PRT,Portugal,2020,b,All ages,NA,13603.000000000015,10196707,133.40581424963977,133.40581424963977,Excess deaths,NA,Both sexes,90.81372034057985
PRT,Portugal,2020,f,All ages,NA,7137.299999999996,5372673,132.8444891397633,132.8444891397633,Excess deaths,NA,Females,85.55255885495784
PRT,Portugal,2020,m,All ages,NA,6465.700000000004,4824034,134.03097905197194,134.03097905197194,Excess deaths,NA,Males,98.0224885774179
PRT,Portugal,2021,b,All ages,NA,11979.800000000017,10196707,117.4869494631945,117.4869494631945,Excess deaths,NA,Both sexes,80.89789624720109
PRT,Portugal,2021,f,All ages,NA,5729.400000000009,5372673,106.63965590312324,106.63965590312324,Excess deaths,NA,Females,69.93379985143291
PRT,Portugal,2021,m,All ages,NA,6250.400000000009,4824034,129.56790934723944,129.56790934723944,Excess deaths,NA,Males,94.5494832121
RUS,Russia,2020,f,All ages,NA,204282.1000000001,78294161,260.9161365175113,260.9161365175113,Excess deaths,NA,Females,250.37781146779784
RUS,Russia,2020,m,All ages,NA,206739.75000000023,67640299,305.6458251315539,305.6458251315539,Excess deaths,NA,Males,392.4892303725225
SVK,Slovakia,2020,b,All ages,NA,7101.4000000000015,5459643,130.07077568991235,130.07077568991235,Excess deaths,NA,Both sexes,138.57724743975845
SVK,Slovakia,2020,f,All ages,NA,3385.7000000000007,2801164,120.86761075038807,120.86761075038807,Excess deaths,NA,Females,119.78402632897762
SVK,Slovakia,2020,m,All ages,NA,3715.7000000000044,2658479,139.76788983475154,139.76788983475154,Excess deaths,NA,Males,168.45913672946003
SVK,Slovakia,2021,b,All ages,NA,19164.6,5459643,351.022951500675,351.022951500675,Excess deaths,NA,Both sexes,362.6455412177407
SVK,Slovakia,2021,f,All ages,NA,9245.2,2801164,330.0485084057913,330.0485084057913,Excess deaths,NA,Females,321.36809423386063
SVK,Slovakia,2021,m,All ages,NA,9919.400000000001,2658479,373.1231279238994,373.1231279238994,Excess deaths,NA,Males,420.83349520129207
SVN,Slovenia,2020,b,All ages,NA,3696.5,2078932,177.80764354004845,177.80764354004845,Excess deaths,NA,Both sexes,137.1664608501387
SVN,Slovenia,2020,f,All ages,NA,1967.800000000001,1043702,188.54040712770512,188.54040712770512,Excess deaths,NA,Females,130.82987545581648
SVN,Slovenia,2020,m,All ages,NA,1728.7000000000007,1035230,166.9870463568483,166.9870463568483,Excess deaths,NA,Males,146.37968367319507
SVN,Slovenia,2021,b,All ages,NA,2098.800000000003,2078932,100.95568301416318,100.95568301416318,Excess deaths,NA,Both sexes,81.28506767996316
SVN,Slovenia,2021,f,All ages,NA,705.4000000000015,1043702,67.58634169523499,67.58634169523499,Excess deaths,NA,Females,50.88083425522303
SVN,Slovenia,2021,m,All ages,NA,1393.4000000000015,1035230,134.59810863286435,134.59810863286435,Excess deaths,NA,Males,115.55741979951614
SWE,Sweden,2020,b,All ages,NA,10548.400000000009,10099270,104.44715311106654,104.44715311106654,Excess deaths,NA,Both sexes,80.85837469885516
SWE,Sweden,2020,f,All ages,NA,4616.200000000004,5040323,91.58540038009477,91.58540038009477,Excess deaths,NA,Females,69.32834411695467
SWE,Sweden,2020,m,All ages,NA,5932.200000000004,5058947,117.26155660456621,117.26155660456621,Excess deaths,NA,Males,91.592542625838007
SWE,Sweden,2021,b,All ages,NA,3103.4000000000087,10099270,30.728953676849997,30.728953676849997,Excess deaths,NA,Both sexes,23.74706676813895
SWE,Sweden,2021,f,All ages,NA,855.2000000000044,5040323,16.96716658833183,16.96716658833183,Excess deaths,NA,Females,11.850339694141823
SWE,Sweden,2021,m,All ages,NA,2248.199999999997,5058947,44.44007814274388,44.44007814274388,Excess deaths,NA,Males,35.3544193833086
TWN,Taiwan,2020,b,All ages,NA,-4940,23816775,-20.741683120405682,-20.741683120405682,Excess deaths,NA,Both sexes,-21.917332387847036
TWN,Taiwan,2020,f,All ages,NA,-2471.199999999997,11982462,-20.62347454137553,-20.62347454137553,Excess deaths,NA,Females,-23.95254738928318
TWN,Taiwan,2020,m,All ages,NA,-2468.7999999999884,11834313,-20.861371505046286,-20.861371505046286,Excess deaths,NA,Males,-19.02258220558197
USA,USA,2020,b,All ages,NA,477032.2999999998,331002647,144.117367133925,144.117367133925,Excess deaths,NA,Both sexes,144.1173671339251
USA,USA,2020,f,All ages,NA,213878.6000000001,167216631,127.90510053990987,127.90510053990987,Excess deaths,NA,Females,127.90510053990985
